Tanggal,Rekening_Asal,Rekening_Tujuan,Jumlah,Jenis_Belanja,Deskripsi,Is_Anomaly
2023-02-17,ACC_KES_024_503,ACC_KEMENHUB_022_407,3936183233.82,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-10-20,ACC_KEMENESDM_020_099,ACC_KEMENPERIN_019_684,38339743448.19,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-04-11,ACC_KEMENAG_025_943,ACC_KOMINFO_059_462,16883335628.13,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-01-05,ACC_PUPR_033_218,ACC_BRIN_124_503,29357864948.58,Belanja Bantuan Sosial,Bansos tunai,0
2023-01-15,ACC_KEMENDAG_090_858,ACC_KES_024_554,451150411844.68,Belanja Subsidi,Subsidi energi,0
2023-06-28,ACC_SOS_027_575,ACC_KEMENLU_011_864,9397291589.66,Belanja Modal,Pembangunan/rehabilitasi gedung,0
2023-08-10,ACC_KEMENKOPUKM_044_485,ACC_KEMENESDM_020_407,18934141227.75,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-05-23,ACC_PERT_018_171,ACC_KEMENHAN_012_541,4416890416.55,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-03-27,ACC_KOMINFO_059_796,ACC_BRIN_124_578,12531195405.83,Belanja Barang,Penyewaan jasa kebersihan,0
2023-03-03,ACC_BPJS_NA_953,ACC_BRIN_124_646,13169795754.25,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-11-27,ACC_KEMENPERIN_019_640,ACC_KEMENESDM_020_506,14082353032.17,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-08-19,ACC_KEMENHUB_022_190,ACC_PPATK_078_225,4210113614.26,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-07-17,ACC_PERT_018_456,ACC_KEMENKOPUKM_044_411,5652857569.36,Belanja Barang,Belanja pemeliharaan rutin,0
2023-06-14,ACC_POLRI_060_225,ACC_KEMENESDM_020_819,8683945141.11,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-06-09,ACC_BPK_004_608,ACC_BRIN_124_472,9120199956.42,Belanja Barang,Penyewaan jasa kebersihan,0
2023-04-23,ACC_PUPR_033_830,ACC_BPK_004_497,12392394268.7,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-04-23,ACC_KEMENDAGRI_010_613,ACC_KEMENLU_011_625,25770891578.59,Belanja Barang,Penyewaan jasa kebersihan,0
2023-12-27,ACC_KES_024_113,ACC_KOMINFO_059_002,5147499354.02,Belanja Lain-lain,Cadangan risiko fiskal,1
2023-05-10,ACC_KOMINFO_059_053,ACC_KEMENESDM_020_684,16824655355.15,Belanja Modal,Pengadaan aset TIK,0
2023-07-17,ACC_KEMENLU_011_416,ACC_KEMENESDM_020_247,24977415508.64,Belanja Modal,Pengadaan aset TIK,0
2023-09-12,ACC_ESDM_020_294,ACC_POLRI_060_280,10319124166.7,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-04-08,ACC_BPK_004_198,ACC_PPATK_078_982,36424690231.6,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-12-15,ACC_KEMENHUB_022_771,ACC_POLRI_060_660,8876068615.22,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-12-12,ACC_KEMENAG_025_963,ACC_KEMENLU_011_511,9779865704.75,Belanja Barang,Penyewaan jasa kebersihan,0
2023-05-08,ACC_BPK_004_551,ACC_ESDM_020_338,6911049886.1,Belanja Barang,Belanja internet dan komunikasi,0
2023-09-24,ACC_KEMENPAREKRAF_040_988,ACC_KES_024_953,19213402983.69,Belanja Bantuan Sosial,Transfer bantuan sosial,0
2023-12-12,ACC_SOS_027_624,ACC_ESDM_020_572,15876570888.28,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-10-31,ACC_BRIN_124_254,ACC_BPS_054_652,6141869296.75,Belanja Barang,Belanja internet dan komunikasi,0
2023-08-21,ACC_KES_024_099,ACC_KEMENLU_011_659,16020551840.34,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-05-11,ACC_KEMENPERIN_019_404,ACC_KEMENKOPUKM_044_152,25515722720.16,Belanja Subsidi,Subsidi pupuk,0
2023-04-22,ACC_POLRI_060_510,ACC_KEMENHUB_022_473,38858715632.17,Belanja Modal,Pembayaran termin proyek resmi,0
2023-12-15,ACC_BRIN_124_914,ACC_PPATK_078_896,62100240590.89,Belanja Pembayaran Bunga Utang,Subsidi bunga kredit program,1
2023-12-29,ACC_BRIN_124_996,ACC_KEMENHUB_022_161,1936949548.0,Belanja Barang,Penyewaan jasa kebersihan,1
2023-10-04,ACC_KEMENESDM_020_816,ACC_KEMENDAGRI_010_916,6018436837.43,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-05-08,ACC_KEMENDAG_090_033,ACC_BPS_054_688,26676814365.81,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-01-22,ACC_KEMENKOPUKM_044_750,ACC_KEU_015_670,17318624182.38,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-10-10,ACC_KEMENDIKBUD_023_027,ACC_PERT_018_226,19921621447.03,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-04-07,ACC_KEMENESDM_020_284,ACC_KEMENDAG_090_879,12292852640.18,Belanja Barang,Belanja internet dan komunikasi,0
2023-05-27,ACC_KEMENPERIN_019_516,ACC_KOMINFO_059_547,32371164477.55,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-01-17,ACC_KEMENHAN_012_172,ACC_PERT_018_220,10027109372.48,Belanja Subsidi,Subsidi pupuk,0
2023-08-21,ACC_KEMENDIKBUD_023_037,ACC_KEU_015_280,31890709550.4,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-10-29,ACC_KEMENDAGRI_010_181,ACC_KEMENPAREKRAF_040_607,11387352789.35,Belanja Barang,Pengadaan barang operasional,0
2023-06-10,ACC_SOS_027_256,ACC_KEMENHAN_012_323,7846052981.27,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-10-08,ACC_BPK_004_735,ACC_PUPR_033_566,15532957237.55,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-10-15,ACC_KEMENAG_025_943,ACC_KES_024_854,9564266916.95,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-05-07,ACC_PPATK_078_155,ACC_KEMENPAREKRAF_040_490,16189157648.54,Belanja Barang,Pengadaan barang operasional,0
2023-10-26,ACC_KEMENHUB_022_246,ACC_ESDM_020_176,26435079291.76,Belanja Bantuan Sosial,Bansos tunai,0
2023-06-19,ACC_BRIN_124_759,ACC_KEMENPAREKRAF_040_538,37452488034.4,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-06-22,ACC_POLRI_060_020,ACC_KEMENDIKBUD_023_321,34476470633.15,Belanja Subsidi,Subsidi pupuk,0
2023-05-22,ACC_BPS_054_972,ACC_KOMINFO_059_883,98334315666.09,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-08-03,ACC_PPATK_078_959,ACC_BPJS_NA_854,8463446792.09,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-07-05,ACC_BPJS_NA_575,ACC_KEMENDAG_090_190,12316762485.9,Belanja Barang,Belanja pemeliharaan rutin,0
2023-06-29,ACC_BRIN_124_682,ACC_KEMENESDM_020_838,10876036679.49,Belanja Barang,Penyewaan jasa kebersihan,0
2023-04-11,ACC_KEMENKOPUKM_044_993,ACC_KEMENDIKBUD_023_264,15377005770.97,Belanja Barang,Belanja pemeliharaan rutin,0
2023-07-15,ACC_SOS_027_774,ACC_BPK_004_877,35564675130.31,Belanja Subsidi,Subsidi energi,0
2023-12-16,ACC_KES_024_047,ACC_KEMENDAGRI_010_867,5972250940.13,Belanja Barang,Pengadaan barang operasional,0
2023-05-25,ACC_KEMENAG_025_120,ACC_KEMENHUB_022_831,4302233697.65,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-02-27,ACC_KEMENAG_025_951,ACC_BPK_004_346,22780333885.49,Belanja Modal,Pembayaran termin proyek resmi,0
2023-02-27,ACC_KES_024_634,ACC_BPJS_NA_513,6132746649.5,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-04-06,ACC_BPK_004_638,ACC_KES_024_118,74126681931.8,Belanja Modal,Pembayaran termin proyek resmi,0
2023-09-29,ACC_KEMENDAGRI_010_189,ACC_KES_024_999,6972254318.76,Belanja Subsidi,Subsidi pupuk,0
2023-03-10,ACC_BPK_004_790,ACC_POLRI_060_861,33758678533.34,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-03-27,ACC_KOMINFO_059_697,ACC_KEMENHUB_022_285,10936885207.13,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-03-10,ACC_PPATK_078_047,ACC_KEMENAG_025_094,4521222053.39,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-08-06,ACC_KEMENPAREKRAF_040_474,ACC_BPK_004_432,10878850617.66,Belanja Bantuan Sosial,Bantuan program keluarga harapan,0
2023-04-10,ACC_BPS_054_289,ACC_KOMINFO_059_254,116925768418.04,Belanja Subsidi,Pembayaran subsidi,0
2023-11-21,ACC_SOS_027_100,ACC_BRIN_124_802,72433087611.24,Belanja Modal,Pengadaan aset TIK,0
2023-09-07,ACC_KEMENHAN_012_659,ACC_BPS_054_442,5342187420.91,Belanja Barang,Belanja pemeliharaan rutin,0
2023-01-16,ACC_KEMENKOPUKM_044_792,ACC_PPATK_078_336,92163877220.5,Belanja Modal,Pembayaran termin proyek resmi,0
2023-06-09,ACC_BRIN_124_475,ACC_KEMENESDM_020_852,23723035761.24,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-06-28,ACC_PUPR_033_427,ACC_KEMENLU_011_613,53890054019.9,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-03-06,ACC_SOS_027_417,ACC_BPK_004_168,7465282801.08,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-12-03,ACC_KOMINFO_059_090,ACC_KEMENHUB_022_776,13110697112.53,Belanja Lain-lain,Belanja operasi non-rutin,0
2023-03-31,ACC_ESDM_020_418,ACC_BPS_054_115,11924254835.07,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-03-16,ACC_POLRI_060_413,ACC_KEMENKOPUKM_044_376,18664904638.19,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-10-04,ACC_KES_024_761,ACC_KEMENKOPUKM_044_676,11624506829.67,Belanja Subsidi,Subsidi pupuk,0
2023-06-26,ACC_SOS_027_099,ACC_PUPR_033_548,15258097200.78,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-04-06,ACC_KEU_015_664,ACC_KES_024_663,22286772674.19,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-01-13,ACC_PERT_018_279,ACC_BPS_054_217,9247537693.53,Belanja Lain-lain,Belanja operasi non-rutin,0
2023-10-13,ACC_KEMENPAREKRAF_040_273,ACC_KOMINFO_059_881,31370813661.83,Belanja Barang,Belanja pemeliharaan rutin,0
2023-07-06,ACC_PUPR_033_019,ACC_PERT_018_177,12912343162.35,Belanja Modal,Pengadaan aset TIK,0
2023-08-21,ACC_KEU_015_915,ACC_KEMENLU_011_076,17222556614.53,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-02-21,ACC_KEMENKOPUKM_044_851,ACC_KEMENDAG_090_506,15630620175.22,Belanja Barang,Belanja pemeliharaan rutin,0
2023-03-10,ACC_BPJS_NA_099,ACC_PPATK_078_396,21414737922.7,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-05-31,ACC_ESDM_020_144,ACC_KOMINFO_059_569,32701200000.85,Belanja Barang,Penyewaan jasa kebersihan,0
2023-06-30,ACC_KOMINFO_059_042,ACC_PUPR_033_186,15669744942.48,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-08-03,ACC_PPATK_078_733,ACC_KEMENHUB_022_235,2780757892.85,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-08-27,ACC_PPATK_078_588,ACC_KEMENDAGRI_010_009,61315718213.55,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-01-07,ACC_PUPR_033_174,ACC_KEMENAG_025_653,10347405449.15,Belanja Subsidi,Subsidi pangan,0
2023-10-10,ACC_KEMENDIKBUD_023_634,ACC_PERT_018_194,17241430045.97,Belanja Barang,Pengadaan barang operasional,0
2023-05-25,ACC_KEMENDIKBUD_023_511,ACC_KES_024_327,4087295719.75,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-05-12,ACC_KES_024_804,ACC_KEMENPERIN_019_070,4020915129.95,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-06-16,ACC_BRIN_124_091,ACC_BPK_004_714,3452216776.12,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-02-08,ACC_SOS_027_126,ACC_KEMENAG_025_451,8420409017.88,Belanja Lain-lain,Belanja tak terduga,0
2023-05-28,ACC_KEMENAG_025_476,ACC_KEMENPERIN_019_456,39939156549.83,Belanja Barang,Pengadaan barang operasional,0
2023-12-27,ACC_KEMENPERIN_019_935,ACC_KES_024_001,3088821854.33,Belanja Pegawai,Pembayaran THR,0
2023-11-08,ACC_BRIN_124_929,ACC_KEMENAG_025_934,12169251623.1,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-02-27,ACC_POLRI_060_556,ACC_KOMINFO_059_685,6301356052.48,Belanja Modal,Pembangunan/rehabilitasi gedung,0
2023-08-17,ACC_BPK_004_676,ACC_POLRI_060_227,12598766348.58,Belanja Lain-lain,Belanja operasi non-rutin,0
2023-02-16,ACC_ESDM_020_233,ACC_BRIN_124_305,17913396551.06,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-09-16,ACC_KEMENKOPUKM_044_656,ACC_KEMENDAGRI_010_471,80154969795.2,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-01-12,ACC_KEU_015_330,ACC_KEMENKOPUKM_044_736,6149222341.71,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-01-08,ACC_KEMENAG_025_122,ACC_SOS_027_348,5762647993.92,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-05-16,ACC_KEMENHUB_022_698,ACC_KOMINFO_059_316,15064490163.21,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-07-31,ACC_ESDM_020_461,ACC_KEMENHAN_012_732,4654523773.08,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-02-15,ACC_BPK_004_547,ACC_KEMENHAN_012_253,18736391162.34,Belanja Barang,Penyewaan jasa kebersihan,0
2023-01-10,ACC_PERT_018_824,ACC_KEMENKOPUKM_044_798,35023302941.67,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-12-31,ACC_KEMENPERIN_019_005,ACC_KEMENESDM_020_119,3295249595.03,Belanja Bantuan Sosial,Bantuan sosial kebencanaan,0
2023-12-28,ACC_KEU_015_177,ACC_BRIN_124_779,17999539812.03,Belanja Modal,Pembangunan infrastruktur jalan,1
2023-03-04,ACC_KEMENDAG_090_217,ACC_BRIN_124_854,51712785101.66,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-04-15,ACC_ESDM_020_099,ACC_POLRI_060_511,11611579174.05,Belanja Subsidi,Pembayaran subsidi,0
2023-11-07,ACC_SOS_027_518,ACC_PPATK_078_476,15699615383.44,Belanja Barang,Belanja internet dan komunikasi,0
2023-06-14,ACC_ESDM_020_714,ACC_POLRI_060_458,84888968842.7,Belanja Subsidi,Subsidi bunga kredit program,0
2023-03-26,ACC_KEMENPERIN_019_078,ACC_KOMINFO_059_457,25196395483.86,Belanja Modal,Pembangunan/rehabilitasi gedung,0
2023-10-15,ACC_KOMINFO_059_034,ACC_BRIN_124_348,10474162832.41,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-02-08,ACC_KEMENDIKBUD_023_154,ACC_KEMENPAREKRAF_040_250,20839315000.66,Belanja Barang,Penyewaan jasa kebersihan,0
2023-09-25,ACC_PUPR_033_961,ACC_KES_024_054,19242804349.04,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-08-10,ACC_POLRI_060_763,ACC_PUPR_033_825,31900387637.63,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-08-17,ACC_KEMENDAGRI_010_853,ACC_ESDM_020_910,2859316345.65,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-04-13,ACC_PERT_018_422,ACC_PPATK_078_704,11225348325.56,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-10-13,ACC_KEMENHUB_022_335,ACC_BPJS_NA_859,18389665609.34,Belanja Pegawai,Pembayaran THR,0
2023-11-04,ACC_KEMENHUB_022_249,ACC_KEU_015_166,3392240003.58,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-04-16,ACC_KES_024_563,ACC_BPJS_NA_081,15897165024.71,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-05-18,ACC_KEMENHUB_022_184,ACC_PUPR_033_401,15659858677.72,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-02-03,ACC_KEMENAG_025_774,ACC_KEMENHUB_022_053,15668088712.61,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-05-06,ACC_BPS_054_747,ACC_ESDM_020_043,4533294444.95,Belanja Barang,Pengadaan barang operasional,0
2023-12-26,ACC_KEMENDAG_090_900,ACC_KEMENHAN_012_696,18790528417.86,Belanja Barang,Pengadaan barang operasional,0
2023-12-18,ACC_KEMENHAN_012_195,ACC_KOMINFO_059_667,9251912935.6,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-10-04,ACC_BRIN_124_005,ACC_SOS_027_466,12988388078.53,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-11-13,ACC_KEMENHUB_022_534,ACC_BPS_054_405,10420387455.63,Belanja Barang,Belanja internet dan komunikasi,0
2023-02-15,ACC_PPATK_078_546,ACC_ESDM_020_945,3953631134.35,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-10-28,ACC_PERT_018_923,ACC_BPS_054_073,29579665937.32,Belanja Modal,Pembayaran termin proyek resmi,0
2023-02-25,ACC_PERT_018_350,ACC_PPATK_078_107,31667342450.62,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-03-02,ACC_BPS_054_337,ACC_BRIN_124_026,9380930827.69,Belanja Lain-lain,Belanja tak terduga,0
2023-06-29,ACC_POLRI_060_719,ACC_PERT_018_303,15209796778.79,Belanja Bantuan Sosial,Transfer bantuan sosial,0
2023-08-02,ACC_KEMENLU_011_526,ACC_PUPR_033_474,8449201226.45,Belanja Barang,Belanja pemeliharaan rutin,0
2023-06-03,ACC_BPK_004_526,ACC_KOMINFO_059_699,107704423676.85,Belanja Subsidi,Subsidi pangan,0
2023-01-07,ACC_KEMENHAN_012_003,ACC_KEMENDAG_090_623,17347874902.65,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-01-15,ACC_BPK_004_192,ACC_KEU_015_985,9876584984.44,Belanja Bantuan Sosial,Bansos tunai,0
2023-01-28,ACC_KEMENLU_011_714,ACC_KEMENDAGRI_010_039,48833241359.78,Belanja Subsidi,Subsidi bunga kredit program,0
2023-10-27,ACC_KES_024_537,ACC_POLRI_060_145,9245464843.3,Belanja Barang,Penyewaan jasa kebersihan,0
2023-01-25,ACC_KEMENESDM_020_580,ACC_KEMENDIKBUD_023_394,6818575373.53,Belanja Barang,Belanja pemeliharaan rutin,0
2023-04-21,ACC_BRIN_124_470,ACC_KEMENHUB_022_034,9876492667.01,Belanja Subsidi,Subsidi bunga kredit program,0
2023-08-24,ACC_KEU_015_595,ACC_SOS_027_554,17715270696.25,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-08-14,ACC_PERT_018_443,ACC_KEMENAG_025_952,38619082446.17,Belanja Barang,Penyewaan jasa kebersihan,0
2023-08-17,ACC_PUPR_033_377,ACC_SOS_027_289,6882725563.93,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-04-22,ACC_BPS_054_516,ACC_KEMENHAN_012_350,6729359162.39,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-11-14,ACC_BPS_054_350,ACC_KEMENPERIN_019_607,6022754627.41,Belanja Barang,Belanja internet dan komunikasi,0
2023-12-01,ACC_SOS_027_646,ACC_KEMENLU_011_118,15724573593.38,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-03-03,ACC_KOMINFO_059_441,ACC_POLRI_060_194,16092881079.88,Belanja Barang,Pengadaan barang operasional,0
2023-10-27,ACC_BPJS_NA_645,ACC_BPS_054_326,5518744927.71,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-11-20,ACC_KEMENDIKBUD_023_787,ACC_KEMENHUB_022_724,15753873912.4,Belanja Lain-lain,Belanja tak terduga,0
2023-03-31,ACC_KEMENHAN_012_654,ACC_BPS_054_320,13596858066.09,Belanja Modal,Pembayaran termin proyek resmi,0
2023-05-19,ACC_BRIN_124_511,ACC_KEMENDAGRI_010_868,8106808980.7,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-01-10,ACC_KEMENDAGRI_010_261,ACC_BRIN_124_919,4331994666.48,Belanja Barang,Pengadaan barang operasional,0
2023-01-13,ACC_PPATK_078_168,ACC_KEMENDAG_090_642,42348539530.89,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-02-07,ACC_BRIN_124_419,ACC_BPS_054_606,9334616937.97,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-03-10,ACC_KEMENLU_011_318,ACC_BPJS_NA_956,5272175318.85,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-05-17,ACC_KEMENHUB_022_930,ACC_ESDM_020_588,13964749679.85,Belanja Lain-lain,Belanja tak terduga,0
2023-01-01,ACC_BPS_054_296,ACC_BRIN_124_320,12104121490.82,Belanja Modal,Pengadaan aset TIK,0
2023-12-27,ACC_BRIN_124_229,ACC_PPATK_078_270,16327299445.7,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-10-18,ACC_KEMENPERIN_019_725,ACC_KEMENAG_025_165,24024897230.61,Belanja Subsidi,Subsidi bunga kredit program,0
2023-05-12,ACC_KEMENLU_011_601,ACC_KEMENHUB_022_749,28149554661.36,Belanja Subsidi,Pembayaran subsidi,0
2023-10-23,ACC_KEMENDAG_090_840,ACC_KOMINFO_059_295,75907441426.48,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-12-19,ACC_KEMENAG_025_023,ACC_KEMENPERIN_019_575,27164354188.95,Belanja Subsidi,Subsidi bunga kredit program,0
2023-06-02,ACC_KEMENKOPUKM_044_145,ACC_BRIN_124_225,37386975783.01,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-04-14,ACC_KEMENDIKBUD_023_947,ACC_KEMENPAREKRAF_040_039,10794619892.45,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-05-14,ACC_BRIN_124_579,ACC_KES_024_391,10071259186.35,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-04-21,ACC_KEMENDIKBUD_023_669,ACC_BRIN_124_289,9806477703.91,Belanja Subsidi,Subsidi pupuk,0
2023-08-19,ACC_KEMENDAGRI_010_923,ACC_KES_024_420,192930668736.91324,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,1
2023-10-16,ACC_BRIN_124_254,ACC_KEMENDAG_090_196,19229424007.17,Belanja Lain-lain,Belanja tak terduga,0
2023-01-10,ACC_KOMINFO_059_517,ACC_ESDM_020_635,36005101465.38,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-10-30,ACC_PUPR_033_228,ACC_BPK_004_877,23454581956.0,Belanja Subsidi,Subsidi pangan,0
2023-07-03,ACC_KEMENPERIN_019_015,ACC_KEMENPERIN_019_015,5519732147.39,Belanja Pegawai,Pembayaran THR,1
2023-06-22,ACC_BPS_054_130,ACC_KEMENESDM_020_411,2931992699.51,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-08-31,ACC_BPJS_NA_932,ACC_KEMENLU_011_292,13556381489.25,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-09-11,ACC_KEMENLU_011_842,ACC_BPK_004_872,62834909753.05,Belanja Subsidi,Subsidi energi,0
2023-07-19,ACC_KEMENESDM_020_023,ACC_BPJS_NA_815,22815826840.33,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-04-14,ACC_SOS_027_958,ACC_BPS_054_210,24781005527.32,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-04-21,ACC_PERT_018_616,ACC_BPJS_NA_828,20606224631.33,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
